Nombre Completo,Fecha Nacimiento,Género,DNI,Dirección,Teléfono,Correo Electrónico,Contacto Emergencia,Teléfono Emergencia,Historial Enfermedades,Alergias,Medicamentos Actuales,Cirugías Previas,Hábitos,Motivo Consulta,Odontograma,Tratamientos Realizados,Tratamientos Pendientes,Radiografías/Fotografías,Índice de Placa,Fecha Última Visita,Historial de Citas,Citas Canceladas,Dentista Asignado,Notas del Doctor,Presupuesto Emitido,Pagos Realizados,Pagos Pendientes,Método de Pago,Aseguradora,Número de Póliza,Deuda,Consentimiento Informado,Autorización Tratamiento,Autorización Uso de Datos
Ricardo Castillo Mendoza,1971-01-14,Masculino,96437105,"Av. Vargas 739, Lima",945085623,ricardo.castillo51@gmail.com,Miguel Silva,920297569,Ninguna,Ibuprofeno,Atorvastatina,Apéndice,Ninguno,Revisión general,"Diente 11:Ausente, Diente 21:Sano, Diente 36:Empaste, Diente 46:Implante",Extracción,Empaste,Sí,64%,2024-07-04,3 cita(s) registrada(s),1,Dr. Mendoza,Sin observaciones,S/ 1124.00,S/ 773.00,S/ 351.00,Transferencia,Sanitas,POL-304399,Sí,Firmado,Pendiente,Autorizado
Sofia Vargas López,1995-07-01,Femenino,37277462,"Av. Pérez 755, Lima",991790135,sofia.vargas49@gmail.com,Jorge Ramírez,913260469,Diabetes e Hipertensión,Ninguna,Vitaminas,Ninguna,Bruxismo,Ortodoncia,"Diente 11:Caries, Diente 21:Implante, Diente 36:Ausente, Diente 46:Ausente",Ortodoncia,Limpieza,No,73%,2025-11-18,1 cita(s) registrada(s),2,Dra. Torres,Mejorar higiene,S/ 417.00,S/ 232.00,S/ 185.00,Seguro,Rimac Seguros,POL-190383,Sí,Firmado,Autorizado,Autorizado
Miguel Hernández Ramos,1993-09-12,Masculino,76743815,"Av. Cruz 872, Lima",914479540,miguel.hernández32@gmail.com,Pedro Sánchez,937066813,Hipertensión,Amoxicilina,Metformina,Apéndice,Bruxismo y Tabaco,Revisión general,"Diente 11:Ausente, Diente 21:Ausente, Diente 36:Caries, Diente 46:Corona",Endodoncia,Extracción,No,29%,2023-08-19,5 cita(s) registrada(s),2,Dra. Vega,Requiere seguimiento,S/ 2633.00,S/ 202.00,S/ 2431.00,Transferencia,Ninguna,N/A,Sí,Firmado,Autorizado,No autorizado
Lucía Martínez Ramos,1960-07-06,Femenino,89913514,"Av. Flores 381, Lima",938020024,lucía.martínez85@gmail.com,Carlos Sánchez,926963094,Ninguna,Ibuprofeno,Omeprazol,Ninguna,Bruxismo y Tabaco,Limpieza dental,"Diente 11:Caries, Diente 21:Implante, Diente 36:Corona, Diente 46:Implante",Limpieza,Limpieza,Sí,17%,2025-10-14,4 cita(s) registrada(s),2,Dra. Vega,Sin observaciones,S/ 2853.00,S/ 1401.00,S/ 1452.00,Tarjeta de crédito,Mapfre,POL-832555,Sí,Firmado,Autorizado,No autorizado
Carlos García Torres,1998-08-07,Masculino,26178227,"Av. Ortiz 665, Lima",937785830,carlos.garcía72@gmail.com,Carmen Pérez,988401027,Diabetes e Hipertensión,Ninguna,Atorvastatina,Ninguna,Bruxismo,Blanqueamiento,"Diente 11:Corona, Diente 21:Ausente, Diente 36:Ausente, Diente 46:Sano",Implante,Empaste,Sí,51%,2024-09-05,3 cita(s) registrada(s),1,Dra. Torres,Paciente colaborador,S/ 977.00,S/ 284.00,S/ 693.00,Tarjeta débito,Ninguna,N/A,Sí,Firmado,Autorizado,No autorizado
Ricardo Ortiz Cruz,1982-10-21,Masculino,46308088,"Av. Ortiz 918, Lima",970134047,ricardo.ortiz85@gmail.com,Elena Torres,988464918,Diabetes e Hipertensión,Ibuprofeno,Losartán,Ninguna,Tabaco y Alcohol,Extracción,"Diente 11:Corona, Diente 21:Sano, Diente 36:Sano, Diente 46:Empaste",Blanqueamiento,Ninguno,Sí,84%,2023-04-15,4 cita(s) registrada(s),1,Dr. Castro,Ansioso ante procedimientos,S/ 2348.00,S/ 781.00,S/ 1567.00,Tarjeta débito,La Positiva,POL-589772,Sí,Firmado,Autorizado,Autorizado
José Torres Cruz,1974-03-15,Masculino,76709819,"Av. Ramos 543, Lima",929972144,josé.torres25@gmail.com,Pedro Vargas,989967483,Diabetes,Anestesia local,Aspirina,Apéndice,Ninguno,Ortodoncia,"Diente 11:Corona, Diente 21:Empaste, Diente 36:Sano, Diente 46:Implante",Endodoncia,Ortodoncia,No,50%,2023-08-27,1 cita(s) registrada(s),0,Dr. Castro,Sin observaciones,S/ 2733.00,S/ 2708.00,S/ 25.00,Transferencia,Sanitas,POL-804752,Sí,Firmado,Autorizado,Autorizado
Diego Hernández Pérez,1966-02-09,Masculino,26304210,"Av. Ramos 741, Lima",989702630,diego.hernández98@gmail.com,Fernando Torres,938397489,Ninguna,Ibuprofeno,Vitaminas,Rodilla,Bruxismo,Ortodoncia,"Diente 11:Sano, Diente 21:Corona, Diente 36:Sano, Diente 46:Caries",Corona,Empaste,No,32%,2023-04-17,5 cita(s) registrada(s),0,Dra. Torres,Buena higiene bucal,S/ 360.00,S/ 210.00,S/ 150.00,Tarjeta débito,Mapfre,POL-454939,Sí,Firmado,Pendiente,No autorizado
Elena Mendoza Hernández,1993-07-14,Femenino,80205431,"Av. Morales 422, Lima",966838217,elena.mendoza62@gmail.com,Elena Ramos,945037349,Hipertensión,Anestesia local,Atorvastatina,Ninguna,Bruxismo,Blanqueamiento,"Diente 11:Implante, Diente 21:Sano, Diente 36:Empaste, Diente 46:Caries",Blanqueamiento,Limpieza,No,82%,2025-05-12,1 cita(s) registrada(s),1,Dr. Castro,Mejorar higiene,S/ 1435.00,S/ 1196.00,S/ 239.00,Tarjeta débito,Pacifico Seguros,POL-364148,Sí,Firmado,Pendiente,Autorizado
Patricia Rodríguez Rodríguez,1966-03-18,Femenino,68474586,"Av. Castillo 377, Lima",956867958,patricia.rodríguez14@gmail.com,Diego Martínez,956445103,Asma,Anestesia local,Losartán,Apéndice,Alcohol,Revisión general,"Diente 11:Empaste, Diente 21:Implante, Diente 36:Ausente, Diente 46:Sano",Blanqueamiento,Ortodoncia,Sí,79%,2025-02-20,2 cita(s) registrada(s),1,Dr. Ramírez,Buena higiene bucal,S/ 2930.00,S/ 1150.00,S/ 1780.00,Seguro,Rimac Seguros,POL-934917,Sí,Pendiente,Pendiente,No autorizado
Elena Ramírez García,1961-04-16,Femenino,78894571,"Av. Ramos 811, Lima",936597984,elena.ramírez76@gmail.com,Fernando Martínez,945015843,Hipertensión,Amoxicilina,Metformina,Ninguna,Tabaco,Dolor de muela,"Diente 11:Empaste, Diente 21:Ausente, Diente 36:Caries, Diente 46:Ausente",Limpieza,Ninguno,Sí,11%,2023-12-24,5 cita(s) registrada(s),1,Dra. Vega,Buena higiene bucal,S/ 793.00,S/ 558.00,S/ 235.00,Efectivo,Rimac Seguros,POL-430238,Sí,Firmado,Autorizado,No autorizado
José Silva Morales,1977-04-01,Masculino,39168385,"Av. Rodríguez 199, Lima",940293880,josé.silva26@gmail.com,Elena Ramos,950695453,Asma,Penicilina,Metformina,Vesícula,Tabaco,Revisión general,"Diente 11:Caries, Diente 21:Sano, Diente 36:Corona, Diente 46:Implante",Empaste,Blanqueamiento,No,15%,2026-01-06,2 cita(s) registrada(s),0,Dra. Torres,Mejorar higiene,S/ 2540.00,S/ 1588.00,S/ 952.00,Tarjeta de crédito,Ninguna,N/A,Sí,Pendiente,Autorizado,No autorizado
Rosa López Cruz,1960-04-07,Femenino,88835176,"Av. Flores 329, Lima",989338845,rosa.lópez16@gmail.com,Luis Vargas,947853091,Diabetes,Ibuprofeno,Losartán,Ninguna,Bruxismo,Revisión general,"Diente 11:Empaste, Diente 21:Empaste, Diente 36:Caries, Diente 46:Empaste",Endodoncia,Empaste,Sí,59%,2024-02-23,4 cita(s) registrada(s),0,Dr. Castro,Sin observaciones,S/ 1189.00,S/ 905.00,S/ 284.00,Efectivo,La Positiva,POL-148900,Sí,Firmado,Pendiente,Autorizado
Ana Cruz Castillo,2001-04-30,Femenino,91040012,"Av. Castillo 103, Lima",938240777,ana.cruz72@gmail.com,Luis Mendoza,962823420,Diabetes,Ninguna,Omeprazol,Ninguna,Alcohol,Colocación de corona,"Diente 11:Implante, Diente 21:Ausente, Diente 36:Corona, Diente 46:Ausente",Endodoncia,Endodoncia,Sí,53%,2025-03-12,4 cita(s) registrada(s),0,Dra. Torres,Paciente colaborador,S/ 1957.00,S/ 286.00,S/ 1671.00,Seguro,Ninguna,N/A,Sí,Firmado,Autorizado,No autorizado
Ana García Vargas,1980-06-18,Femenino,65840783,"Av. García 615, Lima",998087195,ana.garcía66@gmail.com,Rosa Ortiz,951005891,Diabetes e Hipertensión,Amoxicilina,Losartán,Apéndice,Tabaco y Alcohol,Dolor de muela,"Diente 11:Corona, Diente 21:Sano, Diente 36:Sano, Diente 46:Sano",Empaste,Blanqueamiento,No,41%,2024-09-30,1 cita(s) registrada(s),2,Dr. Castro,Buena higiene bucal,S/ 848.00,S/ 93.00,S/ 755.00,Tarjeta de crédito,Ninguna,N/A,Sí,Firmado,Pendiente,No autorizado
Miguel Torres Mendoza,1981-11-04,Masculino,61534780,"Av. Morales 532, Lima",986138375,miguel.torres73@gmail.com,Andrés Cruz,993573858,Hipertensión,Amoxicilina,Ninguno,Ninguna,Tabaco y Alcohol,Extracción,"Diente 11:Ausente, Diente 21:Implante, Diente 36:Implante, Diente 46:Caries",Endodoncia,Ortodoncia,No,77%,2023-07-20,3 cita(s) registrada(s),0,Dr. Ramírez,Ansioso ante procedimientos,S/ 2911.00,S/ 2171.00,S/ 740.00,Efectivo,Sanitas,POL-376756,Sí,Firmado,Autorizado,Autorizado
José Castillo Cruz,1987-08-28,Masculino,65930716,"Av. Ramos 918, Lima",954102868,josé.castillo15@gmail.com,Andrés Morales,991489721,Hipertensión,Látex,Metformina,Apéndice,Ninguno,Ortodoncia,"Diente 11:Sano, Diente 21:Caries, Diente 36:Corona, Diente 46:Ausente",Endodoncia,Empaste,No,32%,2025-12-16,3 cita(s) registrada(s),2,Dr. Ramírez,Ansioso ante procedimientos,S/ 532.00,S/ 423.00,S/ 109.00,Transferencia,Rimac Seguros,POL-564824,Sí,Firmado,Autorizado,Autorizado
